City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,mitsamiouli,-11.3847,43.2844,28.2,74,98,1.83,KM,1679410944
250,victoria,22.2855,114.1577,25.21,86,100,5.36,HK,1679410892
251,port hedland,-20.3167,118.5667,31.03,74,64,6.17,AU,1679410945
252,taltal,-25.4,-70.4833,23.09,73,3,2.17,CL,1679410529
253,san jose,37.3394,-121.895,9.56,87,100,3.09,US,1679410659
254,geraldton,-28.7667,114.6,22.23,88,100,2.06,AU,1679410514
255,santa rosa,14.3122,121.1114,27.28,78,0,2.46,PH,1679410946
256,mazatlan,23.2167,-106.4167,21.35,58,1,1.2,MX,1679410789
257,san giovanni in fiore,39.2633,16.6996,10.2,94,96,0.98,IT,1679410947
258,carauari,-4.8828,-66.8958,32.56,52,31,1.23,BR,1679410948
259,manacapuru,-3.2997,-60.6206,30.52,57,55,2.19,BR,1679410948
260,nizhniy tsasuchey,50.5167,115.1333,-2.68,91,100,8.55,RU,1679410949
261,thompson,55.7435,-97.8558,-21.91,84,20,2.06,CA,1679410732
262,rundu,-17.9333,19.7667,28.6,39,99,3.35,NA,1679410446
263,souillac,-20.5167,57.5167,28.21,74,75,2.06,MU,1679410951
264,farsund,58.0948,6.8047,4.97,88,100,7.84,NO,1679410951
265,malindi,-3.2175,40.1191,29.09,65,75,8.23,KE,1679410952
266,mestia,43.0458,42.7278,4.43,93,72,0.71,GE,1679410953
267,doha,25.2867,51.5333,25.17,44,0,11.32,QA,1679410799
268,mount isa,-20.7333,139.5,24.87,78,99,0.0,AU,1679410905
269,pyapon,16.2833,95.6833,27.54,55,0,3.53,MM,1679410954
270,camocim,-2.9022,-40.8411,26.81,79,23,2.13,BR,1679410955
271,lorengau,-2.0226,147.2712,27.46,77,67,3.75,PG,1679410955
272,mantua,45.1667,10.7833,20.19,53,66,0.89,IT,1679410954
273,talnakh,69.4865,88.3972,-8.77,92,100,9.3,RU,1679410956
274,jacareacanga,-6.2222,-57.7528,23.95,96,86,0.47,BR,1679410957
275,mackay,-21.15,149.2,23.16,72,43,7.96,AU,1679410960
276,kota kinabalu,5.9749,116.0724,24.99,94,20,0.51,MY,1679410961
277,tshane,-24.0196,21.8684,32.11,17,94,2.67,BW,1679410961
278,simi,9.5667,-12.35,39.25,22,5,1.32,SL,1679410962
279,aneho,6.2333,1.6,33.11,63,99,6.93,TG,1679410890
280,laurel,39.0993,-76.8483,13.37,33,0,0.89,US,1679410696
281,comodoro rivadavia,-45.8667,-67.5,17.92,36,0,3.09,AR,1679410963
282,kamenka,51.3223,42.7678,10.12,68,89,2.15,RU,1679410964
283,paamiut,61.994,-49.6678,-4.08,76,27,7.38,GL,1679410965
284,port lincoln,-34.7333,135.8667,16.74,83,0,6.05,AU,1679410965
285,palauig,15.435,119.9045,25.17,79,3,1.86,PH,1679410966
286,petatlan,17.5167,-101.2667,29.31,25,0,0.38,MX,1679410946
287,mao,39.8885,4.2658,16.31,72,40,3.6,ES,1679410565
288,novyy urengoy,66.0833,76.6333,-2.04,95,100,11.31,RU,1679410967
289,baghdad,33.3406,44.4009,14.95,82,75,8.23,IQ,1679410808
290,monroe,43.1501,-77.6831,9.39,43,20,8.75,US,1679410968
291,mirante do paranapanema,-22.2919,-51.9064,27.35,67,2,2.33,BR,1679410968
292,airai,-8.9266,125.4092,15.69,92,100,0.68,TL,1679410969
293,bukachacha,52.9833,116.9167,-9.83,80,100,6.0,RU,1679410970
294,fayetteville,35.0527,-78.8784,11.6,49,0,0.45,US,1679410138
295,warrnambool,-38.3833,142.4833,12.41,81,42,1.34,AU,1679410632
296,rawson,-43.3002,-65.1023,21.63,36,0,6.44,AR,1679410908
297,tucumcari,35.1717,-103.725,10.91,43,0,9.77,US,1679410971
298,hatillo,18.4863,-66.8254,30.21,72,0,4.92,PR,1679410972
299,rocha,-34.4833,-54.3333,23.24,44,53,4.48,UY,1679410972
300,saldanha,-33.0117,17.9442,19.41,77,11,4.14,ZA,1679410973
301,shestakovo,56.4915,103.96,-23.45,100,87,0.22,RU,1679410974
302,aksu,41.1231,80.2644,10.33,20,0,3.11,CN,1679410975
303,calvia,39.5657,2.5062,18.28,68,100,3.13,ES,1679410975
304,hobyo,5.3505,48.5268,28.72,73,13,6.19,SO,1679410976
305,taizhou,32.4933,119.9106,12.97,97,100,2.01,CN,1679410832
306,benguela,-12.5763,13.4055,26.99,76,100,4.08,AO,1679410840
307,kupang,-10.1667,123.5833,25.62,85,86,2.6,ID,1679410977
308,clyde river,70.4692,-68.5914,-22.87,70,0,3.6,CA,1679410978
309,amboasary,-25.0333,46.3833,25.03,80,53,6.34,MG,1679410979
310,iquitos,-3.7481,-73.2472,28.02,94,20,1.54,PE,1679410980
311,khandbari,27.3747,87.2039,14.33,83,85,0.79,NP,1679410766
312,varzob,38.7737,68.8178,12.85,61,50,3.83,TJ,1679410982
313,ayan,56.45,138.1667,-11.56,82,100,3.71,RU,1679410983
314,aranos,-24.1333,19.1167,31.7,22,98,2.85,NA,1679410987
315,sao joao da barra,-21.6403,-41.0511,32.05,69,99,3.47,BR,1679410988
316,pervomayskoye,43.919,46.7102,15.01,53,99,1.87,RU,1679410989
317,cuamba,-14.8031,36.5372,24.16,93,73,1.17,MZ,1679410990
318,inuvik,68.3499,-133.7218,-7.44,76,75,3.6,CA,1679410991
319,amuntai,-2.4177,115.2494,23.76,97,95,0.72,ID,1679410991
320,cabo san lucas,22.8909,-109.9124,21.4,65,0,3.69,MX,1679410883
321,talcahuano,-36.7167,-73.1167,17.82,55,0,4.12,CL,1679410978
322,vyartsilya,62.1764,30.693,0.89,81,46,5.09,RU,1679410993
323,te karaka,-38.4654,177.8679,11.15,98,85,0.9,NZ,1679410994
324,lukovetskiy,64.2956,41.9211,-5.48,94,100,0.36,RU,1679410995
325,nikolskoye,59.7035,30.7861,2.94,82,7,3.06,RU,1679410996
326,san cristobal,7.7669,-72.225,21.1,43,96,2.48,VE,1679410997
327,surt,31.2089,16.5887,27.43,29,100,7.69,LY,1679410998
328,kedrovoye,57.1576,60.5698,4.69,89,100,3.9,RU,1679410999
329,broken hill,-31.95,141.4333,23.8,46,45,4.92,AU,1679411000
330,sorland,67.667,12.6934,0.92,56,100,7.27,NO,1679411001
331,harper,4.375,-7.7169,29.09,69,84,4.56,LR,1679411002
332,awjilah,29.1081,21.2869,31.55,9,100,7.37,LY,1679411003
333,constitucion,-35.3333,-72.4167,21.09,40,0,1.73,CL,1679411005
334,araouane,18.9048,-3.5265,31.59,11,0,4.21,ML,1679411007
335,galle,6.0367,80.217,27.24,78,62,0.5,LK,1679411008
336,poya,-21.35,165.15,23.27,86,39,2.06,NC,1679411009
337,putina,-15.4667,-69.4333,8.74,66,100,2.76,PE,1679411010
338,sabha,27.0377,14.4283,34.14,7,32,11.25,LY,1679411011
339,haines junction,60.7522,-137.5108,-11.03,73,43,1.03,CA,1679411011
340,tessalit,20.1986,1.0114,29.28,13,0,5.22,ML,1679411012
341,vanimo,-2.6741,141.3028,26.04,88,100,2.83,PG,1679411013
342,havre-saint-pierre,50.2334,-63.5986,-2.8,63,20,6.17,CA,1679410917
343,hami,42.8,93.45,6.3,16,51,1.34,CN,1679411014
344,gazojak,41.1875,61.4036,16.32,25,8,4.91,TM,1679411015
345,beloha,-25.1667,45.05,24.17,78,53,6.62,MG,1679411015
346,melfi,40.9965,15.6514,10.27,87,95,2.77,IT,1679411016
347,stephenville,32.2207,-98.2023,15.44,93,100,6.69,US,1679411017
348,iglesias,39.3114,8.535,19.85,62,46,4.14,IT,1679410840
349,lakselv,70.0513,24.9718,-3.1,74,40,8.75,NO,1679411018
350,nouadhibou,20.931,-17.0347,20.99,68,9,8.23,MR,1679411019
351,fortuna,40.5982,-124.1573,4.4,96,20,0.0,US,1679411019
352,oranjestad,12.524,-70.027,28.97,61,40,11.32,AW,1679411020
353,berdigestyakh,62.0989,126.6992,-35.85,100,93,0.98,RU,1679411021
354,pangody,65.85,74.4859,-1.27,96,100,10.53,RU,1679411021
355,leningradskiy,69.3833,178.4167,-22.57,97,100,11.32,RU,1679411022
356,kulhudhuffushi,6.6221,73.07,28.23,69,11,4.42,MV,1679411023
357,rocky mountain house,52.3668,-114.9188,-12.94,85,100,0.51,CA,1679410839
358,vardo,70.3705,31.1107,-5.01,100,100,12.35,NO,1679411024
359,caravelas,-17.7125,-39.2481,30.03,57,99,3.18,BR,1679411025
360,hailey,43.5196,-114.3153,-4.0,81,100,2.68,US,1679411026
361,innisfail,-17.5333,146.0333,22.88,89,100,2.61,AU,1679411026
362,presidencia roque saenz pena,-26.7852,-60.4388,34.97,35,6,3.39,AR,1679411027
